,Artist,Title,Track_id,Year,Lyrics
0,Alma Cogan,Dreamboat,TRQLKEZ128F1462F14,1990,"You dreamboats, you lovable dreamboats
The kisses you gave me set my dreams afloat
I would sail the seven seas with you
Even if you told me to go and paddle my own canoe

Sincerely, I love you so dearly
I'd follow you darling to any shore
You dreamboats you lovable dreamboats
Say that you'll be mine for ever more

You dreamboats, you lovable dreamboats
The kisses you gave me set my dreams afloat
I would sail the seven seas with you
Even if you told me to go and paddle my own canoe

Sincerely, I love you so dearly
I'd follow you darling to any shore
You dreamboat you lovable dreamboat
Say that you'll be mine for ever more"
1,Anthrax,Got The Time,TRTNDRN128F4257E87,1990,"Wake up, got another day to get
Through now, got another man to see
Gotta call him on the telephone, way-o
Gotta find a piece of paper

Sit down, got another letter to write
Think hard, gotta get a letter just right
Little ringing on the telephone, woah no
Gotta write another letter

No such thing as tomorrow
All we want (two three go!)

Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head

Ticking in my head
Ticking in my head
Ticking in my head

If I tell you what I'm doing today
Will you shut up and get out of my way?
Someone asked me what the time is, I don't know
Only know I gotta go now

No time, tryin' to get a watch repaired
No time, never got a thing to wear
Little ringing on the telephone, woah no
Hear a ringing in my head now

No such thing as tomorrow
All we want (two three go!)

Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head

Ticking in my head 
Ticking in my head
Ticking in my head

No such thing as tomorrow
All we want (two three go!)

Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head

Ticking in my head
Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head
Time!
Got the time tick, tick, tickin' in my head

Ticking in my head
Ticking in my head
Ticking in my head"
2,Obituary,Body Bag (Reissue) (Album Version),TRLTOOR128F423BA73,1990,"You're rising
Cure you of the dead
You're dying
Live beyond the way
Falling thru the gates
Scavenge you
With the darkening light
Thru the falling going low
Thru the death of those
The dying ...
We're dying
Healing of the one
Falling of the days
Charring in the sun
We're dying
Killing for the need
Violence of the ways
Slowly bleed
Killing for the need
Rising of the dead
The falling ways
The killing for the need
.. darkened light
The rising of the dead
With the darkening light"
3,The Chills,Heavenly Pop Hit,TRIPOOY128F92EDD20,1990,"Each evening the sun sets in five billion places
Seen by ten billion eyes set in five billion faces
Then they close in a daze and wait for the dawning
But the daylight and sunrise
Are brighter in our eyes
Where night cannot devour golden solar power

Once we were dammned, now I guess we are angels
For we passed though the dark and avoided the dangers
Then I awoke with a start to startling changes
All the tension is ended
The sentance suspended
And darkenss now sparkles and gleams

And it all seems larger than life to me
I find it rather hard rather hard to believe

So I stand as the sound goes straight through my body
I'm so bloated up, happy, and I throw things around me
And I'm growing in stages, and have been for ages
Just singing and floating and free

Dum de dum dum
It's a heavenly pop hit
If anyone wants it
Dum de dum dum
It's a heavenly pop hit
It's something that we're humming as 
We swoop low on trees, or we sweep under carpets
We can dive into suns, though it's not recommended
We can hover, silent, and listen, closely...

It all seems (all seems)
Larger than life to me
I find it (find it)
Hard to believe

So where was our home
Well, our home was in tears
For its fruit has gone bad
They'd been that way for years
Yet their lives are elastic
They should be fantastic
They should be expanding

Dum de dum dum
Dum de dum dum
It's a heavenly pop hit
If anyone wants it

Dum de dum dum
Dum de dum dum
It's a heavenly pop hit
For anybody
For those that still want it"
4,Les VRP,Sidney,TROHJLL128F428BFA5,1990,"Déjà tout petit il aimait smurfer
Et c'est pour ca qu'on l'a nommé Sydney
Sur le pick-up de sa grand-mère
Il faisait du scratch sur Yvette Horner

De la salle a manger jusqu'à la kitchenette
Il faisait la navette en tournant sur la tête
Et pour aller de la chambre au salon
Il se déplaçait toujours a reculons

Pour sauver leurs disques, ses parents lui achètent
Pour son anniversaire, un magnétocassette
Mais bien vite il trouve une solution
Il se l'met sur l'épaule et fout le volume à fond

Fond, fond, fond les petites marionnettes
Ainsi font font font trois petits tours
Et puis s'en vont

Finalement ses parents craquèrent
Et du troisième étage ils le jetèrent
Il s'éclata en bas, tout désarticulé
Mais c'est ce qui lui fallait pour encore mieux smurfer"
5,Paul Anka,(All Of A Sudden) My Heart Sings,TRGVWJK128F930102A,1990,"The secret way you hold my hand
to let me know you understand
the wind and rain upon your face
the breathless world of your embrace
your little laugh and handsome cries
the star light gleaming in your eyes
remembering all those little things
all of a sudden my heart sings

All of a sudden my heart sings
when I remember little things
the way you dance and hold me tight
the way you kiss and say good night
the crazy things we say and do
the fun it is to be with you
the magic thrill that's in your touch
oh darling I love you so much

The secret way you hold my hand
to let me know you understand
the wind and rain upon your face
the breathless world of your embrace
your little laugh and handsome cries
the star light gleaming in your eyes
remembering all those things
all of a sudden my heart sings"
6,Exhorder,The Tragic Period (Album Version),TRPXGWA128F4238DD0,1990,"Here's a tale in history
About a period of tragedy 
A man who thought of horrid things
But really sought what happiness brings 
Terror instilled within the souls
Of men and women, young and old 
Come and listen to me, my friend 
He'll make your morale descend 

One Boston day, it's sad to say
A newborn child was granted miserable life 
Abandoned by his father and
Left alone by death of father's wife 

Foster child 
Tobacco exporter gave him a chance 
History defiled 
Twisted by literature, dark and opium enhanced 
Irregularity 
So far ahead of his time 
A spark of a breed
Regarding all of his literature creed 

Infamy of tales and poetry 
Connecting his themes to his wildest dreams 

The maelstrom grew but no one knew 
He descended far beyond its spinning walls 
Into the pit, the black abyss 
His house was collapsing as he searched for El Dorado 

Perched upon Pallas was life, hard and callous
The shadows of burden lifted nevermore 
The vulture eye of death concealed
By wooden planks below the floor 
The quest for solace evolved into sorrow 
Lingering obsessions 
Intoxication, stimulation, creation 
Hindering addictions 

Apparently the message in a bottle was lost
For I could see no conclusion 
But all of us remaining in the shrouded past
Must remember to further ourselves by obtrusion 

Inebriated grin leads the mighty pen
Across the paper as his fears come alive 
Satiric whim ignites the brim
Of insanity as Pluto arrives 
Swaying cognac barriers
And the beating of his hideous heart
Increasing ever so constantly 
Conjuring the ne'er forgotten lore 
'Tis only this and nothing more 
Nevermore 

Lightning bolts
Tearing through his house and soul 
Mental gibes 
Darkness hailed in what he's told

Eternally infatuated with despair 

Fortunado leads the way to fermented pleasures 
But as the cup of drink is met
The hour tolls and the Red Death guest reveals 

In a kingdom by the sea
Is where they left beloved thee 
The time has come to join, my dear
In your kingdom by the sea

Hear the toll of the iron bells!"
7,Steve Wynn,Kerosene Man,TRLQAUH128F4242B8E,1990,"Once I was down in the promised land
In a borrowed tent with a caravan
The leader of the pack stuck out his hand
He said, ""Pleased to meet you
I'm the Kerosene Man""

And I jump and run and steal the show
Where it's heading I don't know
When these things get out of hand
Look out baby, it's the Kerosene Man

Three day bender with Ray Milland
Scotch and soda and candied yams
Things they were getting out of hand
Ray was dancing with the Kerosene Man

And I jump and run and steal the show
Where it's heading I don't know
When these things get out of hand
Look out baby, it's the Kerosene Man

Me and Mickey Mantle and Stan the Man
Were talking about a kid we couldn't understan
He batted .360 in Birmingham
Got fooled by a curveball by the Kerosene Man

And I jump and run and steal the show
wher it's heading I don't know
When these things get out of hand
Look out baby, it's the Kerosene Man

Chinese food in Alabama
I was looking at the menu, according to plan
Ate too much moo goo gai pan
Had one more dream about hte Kerosene Man

And I run and jump and steal the show
Where it's heading I don't know
When these things get out of hand
Look out baby, it's the Kerosene Man"
8,Element Of Crime,Nervous And Blue,TRIHRSB128F9307EDA,1990,"I'm out on the street, I stroll about town, and I don't know why
I find myself watching the ducks in this lake, and I don't know why
I don't wanna see you, I'm not in the mood, and I don't wanna talk to you either
I ain't got no food for the ducks and I ain't got no idea what to do

I'm just feeling so nervous and blue

Out of a snackbar, filled up with coffee, and worries 'bout me and you
I didn't expect them fighting in this very street
I'm suddenly mixed up with trouble I suddenly find myself down on my knees,
warm blood running down over my face and I wonder if a whisky would do

I'm just feeling so nervous and blue

I love you, I love you, I love you, I love you, I love you so
Whatever I do, I beg you to keep that in mind
I'm sorry, I'm sorry, I'm sorry that I can't be all yours all the time,
but don't you ever, don't you ever think I was hiding from you
I'm just feeling so nervous and blue
I'm feeling so nervous and blue"
9,Lloyd Cole,No Blue Skies,TRUKXZG128F429D8FC,1990,"You want to leave me, baby, be my guest 
All I'm going to do is cry 
And then I'm gonna find me someone else 
And tear the stars out of the sky

Looking for something when there's nothing there to be found 
Make it easy on yourself 
Go out and find your body someone else 
Or tear the stars out of the sky 

Baby you're too well read 
Baby you're too well spoken 
Baby you're too pristine 
When I cry, do you feel anything? 
Baby you're too well read 

You want to leave me, baby, be my guest 
All I'm going to do is cry 
And then I'm gonna find me someone else 
And tear the stars out of the sky

Baby you're too well read 
Baby you're too well spoken 
Baby you're far too clean
When I cry, do you feel anything? 
Baby you're too well read 

You don't need me anymore 
You don't need me anymore 
They say storms are rife for summertime 
Well baby, I'm long gone 
What are you going to do when you open your eyes 
It's a brand new day and baby 
No blue skies?"
